School Name,Totals,Participation,Host Sectionals,Host Regionals,Host Semi-State,Longitude,Latitude
Carmel High School,5000,1,0,0,0,-86.1194606,39.9800196
Ben Davis High School,4362,1,1,1,0,-86.291011,39.784335
North Central (Indpls.) High School,3772,1,0,0,0,-86.1292201,39.9108906
Warren Central High School,3736,1,0,0,0,-85.9995792,39.7908649
Penn High School,3345,1,0,0,0,-86.1077188,41.6789166
Pike High School,3306,1,0,0,0,-86.2553787,39.8755913
Fishers High School,3250,1,0,0,0,-85.9671656,39.9774364
Lake Central High School,3219,1,0,0,0,-87.472988,41.467027
Hamilton Southeastern HS,3118,1,0,0,0,-85.9172084,39.9705991
Avon High School,2891,1,0,0,0,-86.3879795,39.7389748
Noblesville High School,2882,1,1,1,0,-85.9978899,40.0564429
Crown Point High School,2763,1,1,1,0,-87.3612677,41.3897616
Franklin Central High School,2659,1,0,0,0,-86.0157925,39.6769467
Brownsburg High School,2629,1,0,0,0,-86.3879708,39.8299773
Portage High School,2520,1,0,0,0,-87.16763,41.5540097
Center Grove High School,2500,1,0,0,0,-86.1952026,39.5760289
Lawrence North High School,2469,1,0,0,0,-86.0349536,39.8961663
Perry Meridian High School,2351,1,0,0,0,-86.1665921,39.6483986
Homestead Senior High School,2348,1,0,0,0,-85.2862557,41.0433219
Lawrence Central High School,2340,1,0,0,0,-86.0382149,39.85667
Carroll (F.W.) High School,2280,1,0,0,0,-85.1925191,41.1903467
Merrillville High Sch,2214,1,0,0,0,-87.3298741,41.4944455
Southport High School,2185,1,0,0,0,-86.1414684,39.671079
Warsaw Community HS,2176,1,0,0,0,-85.8658955,41.2237933
Westfield High School,2146,1,0,0,0,-86.1297922,40.0521817
F.W. Northrop High School,2097,1,1,0,0,-85.1394507,41.1457383
Valparaiso High School,2082,1,0,0,0,-87.0675623,41.4932851
Chesterton Senior High School,2076,1,1,0,0,-87.0646117,41.5890906
Jeffersonville High School,2066,1,0,0,0,-85.7101307,38.3166996
Lafayette Jefferson High School,2031,1,0,0,0,-86.874879,40.3985594
Columbus North High School,2017,1,0,0,0,-85.9112191,39.2245573
LaPorte High School,1946,1,0,0,0,-86.7268627,41.6011891
Indpls. Arsenal Technical High School,1940,1,0,0,0,-86.1347879,39.7792736
Castle High School,1934,1,0,0,0,-87.384368,37.984834
Anderson High School,1933,1,0,0,0,-85.690682,40.065838
Zionsville Community High Sch,1928,1,0,0,0,-86.2729923,39.9587127
Harrison (W.Laf.) High Sch,1905,1,1,1,0,-86.9145262,40.499183
Goshen High School,1866,1,0,0,0,-85.8230976,41.5807053
Terre Haute North Vigo High Sch,1854,1,1,0,0,-87.3634658,39.4928774
F.W. Snider High School,1850,1,0,0,0,-85.0824314,41.1077269
Whiteland Community High Sch,1845,1,0,0,0,-86.0841139,39.5513204
New Albany Senior High School,1843,1,0,0,0,-85.8110215,38.2987932
S.B. Adams High School,1794,1,0,0,0,-86.2228372,41.6670326
Terre Haute South Vigo High Sch,1778,1,0,0,0,-87.4082875,39.4254888
Kokomo High School,1769,1,0,0,0,-86.1575594,40.4560891
McCutcheon High School,1769,1,0,0,0,-86.9031813,40.3509069
Decatur Central High School,1767,1,0,0,0,-86.2768599,39.6877735
