School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
Carmel High School,5000,,,,,,
Ben Davis High School,4362,,,,,,
North Central (Indpls.) High School,3772,,,,,,
Warren Central High School,3736,,,,,,
Penn High School,3345,,,,,,
Pike High School,3306,,,,,,
Fishers High School,3250,,,,,,
Lake Central High School,3219,,,,,,
Hamilton Southeastern HS,3118,,,,,,
Avon High School,2891,,,,,,
Noblesville High School,2882,,,,,,
Crown Point High School,2763,,,,,,
Franklin Central High School,2659,,,,,,
Brownsburg High School,2629,,,,,,
Portage High School,2520,,,,,,
Center Grove High School,2500,,,,,,
Lawrence North High School,2469,,,,,,
Perry Meridian High School,2351,,,,,,
Homestead Senior High School,2348,,,,,,
Lawrence Central High School,2340,,,,,,
Carroll (F.W.) High School,2280,,,,,,
Merrillville High Sch,2214,,,,,,
Southport High School,2185,,,,,,
Warsaw Community HS,2176,,,,,,
Westfield High School,2146,,,,,,
F.W. Northrop High School,2097,,,,,,
Valparaiso High School,2082,,,,,,
Chesterton Senior High School,2076,,,,,,
Jeffersonville High School,2066,,,,,,
Lafayette Jefferson High School,2031,,,,,,
Columbus North High School,2017,,,,,,
LaPorte High School,1946,,,,,,
Indpls. Arsenal Technical High School,1940,,,,,,
Castle High School,1934,,,,,,
Anderson High School,1933,,,,,,
Zionsville Community High Sch,1928,,,,,,
Harrison (W.Laf.) High Sch,1905,,,,,,
Goshen High School,1866,,,,,,
Terre Haute North Vigo High Sch,1854,,,,,,
F.W. Snider High School,1850,,,,,,
Whiteland Community High Sch,1845,,,,,,
New Albany Senior High School,1843,,,,,,
S.B. Adams High School,1794,,,,,,
Terre Haute South Vigo High Sch,1778,,,,,,
Kokomo High School,1769,,,,,,
McCutcheon High School,1769,,,,,,
Decatur Central High School,1767,,,,,,
Michigan City High Sch,1753,,,,,,
Floyd Central High School,1746,,,,,,
Bloomington High School South,1742,,,,,,
Concord Community High School,1716,,,,,,
Bloomington High School North,1709,,,,,,
Elkhart Central High School,1673,,,,,,
F.W. North Side High School,1672,,,,,,
Elkhart Memorial High School,1648,,,,,,
